	block	category	set	word
0	1	Adjectives for People	1	angry
1	1	Adjectives for People	1	beautiful
2	1	Adjectives for People	1	brave
3	1	Adjectives for People	1	careful
4	1	Adjectives for People	1	careless
5	1	Adjectives for People	1	clever
6	1	Adjectives for People	2	crazy
7	1	Adjectives for People	2	cute
8	1	Adjectives for People	2	dangerous
9	1	Adjectives for People	2	exciting
10	1	Adjectives for People	2	famous
11	1	Adjectives for People	2	friendly
12	1	Adjectives for People	3	happy
13	1	Adjectives for People	3	interesting
14	1	Adjectives for People	3	lucky
15	1	Adjectives for People	3	old
16	1	Adjectives for People	3	poor
17	1	Adjectives for People	3	popular
18	1	Adjectives for People	4	rich
19	1	Adjectives for People	4	sad
20	1	Adjectives for People	4	thin
21	1	Adjectives for People	4	ugly
22	1	Adjectives for People	4	unlucky
23	1	Adjectives for People	4	young
24	2	Adverbs of Time	1	after
25	2	Adverbs of Time	1	always
26	2	Adverbs of Time	1	before
27	2	Adverbs of Time	1	during
28	2	Adverbs of Time	2	lately
29	2	Adverbs of Time	2	never
30	2	Adverbs of Time	2	often
31	2	Adverbs of Time	2	rarely
32	2	Adverbs of Time	3	recently
33	2	Adverbs of Time	3	sometimes
34	2	Adverbs of Time	3	soon
35	2	Adverbs of Time	3	today
36	2	Adverbs of Time	4	tomorrow
37	2	Adverbs of Time	4	usually
38	2	Adverbs of Time	4	yesterday
39	3	Animals	1	alligator
40	3	Animals	1	ant
41	3	Animals	1	bear
42	3	Animals	1	bee
43	3	Animals	1	bird
44	3	Animals	1	camel
45	3	Animals	1	cat
46	3	Animals	1	cheetah
47	3	Animals	1	chicken
48	3	Animals	1	chimpanzee
49	3	Animals	1	cow
50	3	Animals	1	crocodile
51	3	Animals	1	deer
52	3	Animals	2	dog
53	3	Animals	2	dolphin
54	3	Animals	2	duck
55	3	Animals	2	eagle
56	3	Animals	2	elephant
57	3	Animals	2	fish
58	3	Animals	2	fly
59	3	Animals	2	fox
60	3	Animals	2	frog
61	3	Animals	2	giraffe
62	3	Animals	2	goat
63	3	Animals	2	goldfish
64	3	Animals	2	hamster
65	3	Animals	3	hippopotamus
66	3	Animals	3	horse
67	3	Animals	3	kangaroo
68	3	Animals	3	kitten
69	3	Animals	3	lion
70	3	Animals	3	lobster
71	3	Animals	3	monkey
72	3	Animals	3	octopus
73	3	Animals	3	owl
74	3	Animals	3	panda
75	3	Animals	3	pig
76	3	Animals	3	puppy
77	3	Animals	3	rabbit
78	3	Animals	4	rat
79	3	Animals	4	scorpion
80	3	Animals	4	seal
81	3	Animals	4	shark
82	3	Animals	4	sheep
83	3	Animals	4	snail
84	3	Animals	4	snake
85	3	Animals	4	spider
86	3	Animals	4	squirrel
87	3	Animals	4	tiger
88	3	Animals	4	turtle
89	3	Animals	4	wolf
90	3	Animals	4	zebra
91	4	Bank	1	account
92	4	Bank	1	bills
93	4	Bank	1	borrow
94	4	Bank	1	alarm
95	4	Bank	1	cash
96	4	Bank	1	cashier
97	4	Bank	1	check
98	4	Bank	2	coins
99	4	Bank	2	credit
100	4	Bank	2	credit card
101	4	Bank	2	currency
102	4	Bank	2	customer
103	4	Bank	2	deposit
104	4	Bank	2	interest
105	4	Bank	3	lend
106	4	Bank	3	loan
107	4	Bank	3	manager
108	4	Bank	3	money
109	4	Bank	3	mortgage
110	4	Bank	3	pay
111	4	Bank	3	save
112	4	Bank	4	savings
113	4	Bank	4	guard
114	4	Bank	4	teller
115	4	Bank	4	vault
116	4	Bank	4	withdraw
117	5	Baseball	1	ball
118	5	Baseball	1	cap
119	5	Baseball	1	bat
120	5	Baseball	1	batter
121	5	Baseball	1	bunt
122	5	Baseball	1	catch
123	5	Baseball	1	catcher
124	5	Baseball	1	coach
125	5	Baseball	1	curve
126	5	Baseball	1	dugout
127	5	Baseball	2	fence
128	5	Baseball	2	field
129	5	Baseball	2	umpire
130	5	Baseball	2	first baseman
131	5	Baseball	2	foul
132	5	Baseball	2	foul line
133	5	Baseball	2	four ball
134	5	Baseball	2	glove
135	5	Baseball	2	helmet
136	5	Baseball	2	hit
137	5	Baseball	3	home plate
138	5	Baseball	3	inning
139	5	Baseball	3	left fielder
140	5	Baseball	3	major league
141	5	Baseball	3	minor league
142	5	Baseball	3	pitch
143	5	Baseball	3	pitcher
144	5	Baseball	3	right fielder
145	5	Baseball	3	run
146	5	Baseball	3	runner
147	5	Baseball	4	scoreboard
148	5	Baseball	4	second baseman
149	5	Baseball	4	short stop
150	5	Baseball	4	slide
151	5	Baseball	4	steal
152	5	Baseball	4	strike
153	5	Baseball	4	strike out
154	5	Baseball	4	third baseman
155	5	Baseball	4	throw
156	5	Baseball	4	walk
157	6	Body	1	back
158	6	Body	1	cheeks
159	6	Body	1	chest
160	6	Body	1	chin
161	6	Body	1	ears
162	6	Body	1	eyebrows
163	6	Body	1	eyes
164	6	Body	1	feet
165	6	Body	2	fingers
166	6	Body	2	foot
167	6	Body	2	forehead
168	6	Body	2	hair
169	6	Body	2	hands
170	6	Body	2	head
171	6	Body	2	hips
172	6	Body	2	knees
173	6	Body	3	legs
174	6	Body	3	lips
175	6	Body	3	mouth
176	6	Body	3	neck
177	6	Body	3	nose
178	6	Body	3	shoulders
179	6	Body	3	stomach
180	6	Body	3	teeth
181	6	Body	4	teeth
182	6	Body	4	throat
183	6	Body	4	toes
184	6	Body	4	tongue
185	6	Body	4	tooth
186	6	Body	4	waist
187	7	Buildings and Places	1	airport
188	7	Buildings and Places	1	apartment building
189	7	Buildings and Places	1	bank
190	7	Buildings and Places	1	barber shop
191	7	Buildings and Places	1	book store
192	7	Buildings and Places	1	bowling alley
193	7	Buildings and Places	2	bus stop
194	7	Buildings and Places	2	church
195	7	Buildings and Places	2	convenience store
196	7	Buildings and Places	2	department store
197	7	Buildings and Places	2	fire department
198	7	Buildings and Places	2	gas station
199	7	Buildings and Places	3	hospital
200	7	Buildings and Places	3	house
201	7	Buildings and Places	3	library
202	7	Buildings and Places	3	movie theater
203	7	Buildings and Places	3	museum
204	7	Buildings and Places	3	office building
205	7	Buildings and Places	4	post office
206	7	Buildings and Places	4	restaurant
207	7	Buildings and Places	4	school
208	7	Buildings and Places	4	mall
209	7	Buildings and Places	4	supermarket
210	7	Buildings and Places	4	train station
211	8	Car Parts (US)	1	accelerator
212	8	Car Parts (US)	1	battery
213	8	Car Parts (US)	1	blinker
214	8	Car Parts (US)	1	brake
215	8	Car Parts (US)	1	bumper
216	8	Car Parts (US)	1	clutch
217	8	Car Parts (US)	2	dashboard
218	8	Car Parts (US)	2	gear
219	8	Car Parts (US)	2	headlight
220	8	Car Parts (US)	2	horn
221	8	Car Parts (US)	2	hubcap
222	8	Car Parts (US)	2	license plate
223	8	Car Parts (US)	3	rearview mirror
224	8	Car Parts (US)	3	seat
225	8	Car Parts (US)	3	speedometer
226	8	Car Parts (US)	3	taillight
227	8	Car Parts (US)	3	tire
228	8	Car Parts (US)	3	trunk
